ppm,intensity
0.0,0.0
0.001,0.0
0.002,8.217172129135398e-05
0.003,0.0
0.004,0.002498400017720833
0.005,0.0
0.006,0.0
0.007,0.0030440288757009213
0.008,0.0
0.009000000000000001,0.0
0.01,0.0028620667114759328
0.011,0.0024719741221673353
0.012,0.004275639340813974
0.013000000000000001,0.0
0.014,0.0006359224847713455
0.015,0.0018021564177323757
0.016,0.0
0.017,0.0030627161757173934
0.018000000000000002,0.0007628919608530802
0.019,0.0012437230209666032
0.02,0.0
0.021,0.0
0.022,0.002686323895374362
0.023,0.0007941290109044593
0.024,0.0
0.025,0.0
0.026000000000000002,0.0
0.027,0.0
0.028,0.0011796526679826193
0.029,0.0012506500048254621
0.03,0.0021142769194078107
0.031,0.0
0.032,0.0
0.033,0.0
0.034,0.0
0.035,0.0039724929454611905
0.036000000000000004,0.0030206653787246272
0.037,0.0
0.038,0.007532494079605285
0.039,0.0008685044428540015
0.04,0.0
0.041,0.0
0.042,0.0
0.043000000000000003,0.0
0.044,0.0
0.045,0.002601035618507834
0.046,0.002532815883202335
0.047,0.0
0.048,0.0
0.049,0.0023722547157972768
0.05,0.002278321002632737
0.051000000000000004,0.0
0.052000000000000005,1.8094853294938797e-05
0.053,0.0009438354535202085
0.054,1.1722547351728456e-05
0.055,0.0011353347573507424
0.056,0.0
0.057,0.0014709593047716278
0.058,0.0
0.059000000000000004,0.0011371408812478501
0.06,0.0015663284732312904
0.061,0.0
0.062,0.0
0.063,0.0029561144539541717
0.064,0.00016902679330813036
0.065,0.004014525749237009
0.066,0.0039034743991442316
0.067,0.0007934051326371615
0.068,0.0
0.069,0.004343851991154355
0.07,0.0
0.07100000000000001,0.0008325121976612826
0.07200000000000001,0.0
0.073,0.0
0.074,0.0
0.075,0.0018197586151143977
0.076,0.003824316528573413
0.077,0.0011653038888673744
0.078,0.0014718195272182557
0.079,0.0
0.08,0.0
0.081,0.0
0.082,0.0
0.083,0.00047632069069620934
0.084,0.0014807700708640782
0.085,0.0011099899993565802
0.08600000000000001,0.0
0.08700000000000001,0.0
0.088,0.0035216188257047136
0.089,0.0
0.09,0.0014375095365604018
0.091,0.0007224823664399383
0.092,0.0
0.093,0.0021880322174894
0.094,0.0
0.095,0.0030096003128427034
0.096,0.0007872860063382446
0.097,0.0
0.098,0.0
0.099,0.0
0.1,0.0022084533040013063
0.101,0.0008058991940151665
0.10200000000000001,0.002204339248284072
0.10300000000000001,0.0028611929420014996
0.10400000000000001,0.0009332073013977655
0.105,0.0011727116221616862
