ppm,intensity
0.0,0.0
0.001,0.0
0.002,0.0017004786572761045
0.003,0.00152808824319406
0.004,0.002156165972186935
0.005,0.00026650361054875345
0.006,0.0
0.007,0.0037267313385569364
0.008,0.0026551272550673385
0.009000000000000001,0.0
0.01,0.0011705287738173523
0.011,0.0028833299874629304
0.012,0.0
0.013000000000000001,0.0046837871701160515
0.014,0.0006239893990682421
0.015,0.0
0.016,0.0007806921081582755
0.017,0.002401908820405878
0.018000000000000002,0.0
0.019,0.0010344492269004507
0.02,0.0006012439634956325
0.021,0.0
0.022,0.0
0.023,0.0012289304423687307
0.024,0.0022665957051809177
0.025,0.0
0.026000000000000002,0.00044757632109388736
0.027,0.0
0.028,0.0009602149363539407
0.029,0.00471286362307837
0.03,0.0009384279804639463
0.031,0.0008001010880782836
0.032,0.0019487225146198766
0.033,0.0
0.034,0.0014415618303648154
0.035,0.00046738812599509067
0.036000000000000004,1.390402626498668e-05
0.037,0.0007416790507239878
0.038,0.0
0.039,0.00043929997432375225
0.04,0.0
0.041,0.0034256606991967965
0.042,0.0
0.043000000000000003,0.0033282487538387508
0.044,0.00040259639715085253
0.045,0.0015294130888389129
0.046,0.0
0.047,0.0
0.048,0.0021706999727710546
0.049,0.0017351888107838723
0.05,6.680316444394204e-05
0.051000000000000004,0.0
0.052000000000000005,0.001645896760314549
0.053,0.0029929903516781996
0.054,0.0
0.055,0.0006320166620616271
0.056,0.00290050041512197
0.057,0.0
0.058,0.0
0.059000000000000004,0.0014229186953359958
0.06,0.0
0.061,0.0
0.062,0.0
0.063,0.0030418468598068815
0.064,0.0
0.065,0.0
0.066,0.0
0.067,0.0014977138512659413
0.068,0.000595658871330552
0.069,0.000524237431222771
0.07,0.0
0.07100000000000001,0.0
0.07200000000000001,0.001168532339050166
0.073,0.0011449059611734246
0.074,0.002481731104351163
0.075,0.002113130859407084
0.076,0.0
0.077,0.0019009854972708222
0.078,0.0
0.079,0.0
0.08,0.001854542970532248
0.081,3.779502412560337e-05
0.082,0.0016494177478972305
0.083,0.0014756826244288757
0.084,0.00015221977597542765
0.085,0.0
0.08600000000000001,0.0
0.08700000000000001,0.0
0.088,0.0029178725890053234
0.089,0.0
0.09,0.0
0.091,0.0010805533804427623
0.092,0.0
0.093,0.0
0.094,0.0004510751417455772
0.095,0.0
0.096,0.0
0.097,0.0007693027548703648
0.098,0.0014618468408954277
0.099,0.0
0.1,0.0009001493343754249
0.101,0.000734547677963239
0.10200000000000001,0.002074805401921372
0.10300000000000001,0.0
